id,carat,cut,color,clarity,x,y,z,depth,table,price
25070,0.82,Very Good,G,VS2,5.94,5.98,3.7,62.1,56.0,3528
25071,0.7,Very Good,D,SI1,5.57,5.61,3.56,63.7,60.0,2565
25072,0.59,Very Good,J,VS2,5.42,5.47,3.31,60.8,56.6,1257
25073,0.76,Fair,H,SI1,5.84,5.77,3.59,61.9,70.0,2328
25074,0.82,Very Good,I,SI1,5.94,6.0,3.72,62.3,58.0,2602
25075,1.01,Ideal,G,VS1,6.44,6.36,3.97,62.0,57.0,6504
25076,0.92,Very Good,G,SI2,6.34,6.36,3.77,59.4,62.0,3618
25077,0.3,Good,E,VS1,4.26,4.29,2.7,63.2,57.0,568
25078,0.96,Very Good,G,SI2,6.18,6.29,3.9,62.6,59.0,3723
25079,0.5,Very Good,E,VS1,5.06,5.14,3.14,61.6,59.0,1554
25080,0.31,Ideal,J,VS1,4.34,4.36,2.69,61.9,54.7,429
25081,0.31,Ideal,H,VS2,4.35,4.37,2.71,62.2,55.0,489
25082,0.28,Very Good,H,VS1,4.17,4.2,2.64,63.1,55.0,429
25083,1.74,Premium,G,VS2,7.77,7.75,4.73,61.0,58.0,17614
25084,1.31,Ideal,H,VS2,7.02,7.06,4.35,61.8,57.0,8261
25085,0.4,Premium,F,VS1,4.73,4.75,2.91,61.4,58.0,982
25086,0.3,Ideal,F,VS1,4.31,4.35,2.69,62.1,55.0,612
25087,0.43,Ideal,F,SI1,4.86,4.9,2.99,61.3,56.0,739
25088,0.42,Very Good,G,VS1,4.78,4.8,2.99,62.4,59.0,921
25089,1.51,Ideal,E,VS2,7.31,7.26,4.57,62.7,57.0,14482
25090,0.41,Very Good,J,IF,4.75,4.7,3.0,63.5,54.0,1061
25091,0.41,Ideal,E,VS1,4.79,4.76,2.91,60.9,57.0,1153
25092,0.53,Premium,E,SI2,5.24,5.21,3.16,60.5,60.0,1227
25093,0.54,Ideal,G,VVS2,5.31,5.28,3.22,60.8,56.0,1950
25094,0.34,Ideal,E,SI1,4.51,4.48,2.73,60.7,57.0,765
25095,0.92,Fair,H,SI2,6.22,6.0,4.05,66.1,57.0,2283
25096,0.9,Premium,F,SI1,6.18,6.16,3.79,61.4,55.0,4435
25097,0.52,Ideal,H,VS1,5.17,5.22,3.17,61.1,57.0,1648
25098,0.58,Premium,H,SI1,5.38,5.35,3.33,62.1,55.0,1332
25099,0.3,Good,G,VVS2,4.24,4.26,2.71,63.8,57.0,684
25100,0.9,Very Good,E,SI1,6.11,6.17,3.86,62.9,57.0,3510
25101,0.3,Very Good,I,VVS2,4.28,4.32,2.66,61.9,61.0,526
25102,1.01,Fair,E,VVS1,6.19,6.1,4.06,66.1,55.0,8529
25103,0.4,Very Good,F,VVS1,4.69,4.71,2.91,61.9,57.0,1263
25104,1.03,Premium,F,SI2,6.6,6.53,4.03,61.4,57.0,4586
25105,1.23,Ideal,E,VVS2,6.85,6.91,4.25,61.7,57.0,12539
25106,0.4,Premium,G,VS1,4.8,4.76,2.88,60.3,59.0,1125
25107,0.54,Ideal,D,VVS2,5.25,5.31,3.23,61.2,55.0,2302
25108,1.0,Premium,F,SI1,6.39,6.36,3.96,62.1,59.0,5152
25109,0.41,Good,E,VS2,4.89,4.95,2.86,58.1,59.0,772
25110,0.9,Good,I,VS2,6.1,6.06,3.87,63.7,61.0,3246
25111,1.12,Ideal,G,VVS2,6.59,6.66,4.14,62.5,56.0,8592
25112,0.33,Ideal,E,VVS1,4.44,4.46,2.74,61.6,56.0,1207
25113,0.35,Ideal,F,VS2,4.5,4.53,2.82,62.5,57.0,706
25114,1.09,Very Good,G,VS1,6.74,6.65,4.0,59.7,63.0,6570
25115,0.41,Ideal,E,SI1,4.75,4.71,2.97,62.8,57.0,904
25116,1.54,Premium,D,VS2,7.54,7.61,4.49,59.3,59.0,16736
25117,0.5,Premium,H,VVS1,5.1,5.05,3.17,62.5,58.0,1838
25118,1.07,Ideal,F,SI2,6.53,6.58,4.06,61.9,55.0,4374
25119,0.44,Very Good,E,SI1,4.87,4.84,3.07,63.2,53.0,970
25120,1.56,Ideal,H,SI1,7.44,7.46,4.63,62.1,56.0,10739
25121,0.33,Ideal,J,VS1,4.45,4.47,2.76,61.9,54.3,456
25122,0.32,Ideal,D,VS2,4.42,4.44,2.75,62.1,53.0,671
25123,0.84,Ideal,J,VS1,6.07,6.06,3.76,62.0,55.0,2456
25124,0.3,Ideal,D,VS2,4.32,4.3,2.69,62.4,55.0,790
25125,0.75,Good,E,SI1,5.75,5.77,3.65,63.4,57.0,2674
25126,0.34,Premium,F,VS2,4.48,4.44,2.79,62.6,59.0,880
25127,1.01,Ideal,D,VS2,6.4,6.42,3.98,62.1,58.0,8119
25128,1.6,Premium,G,SI1,7.5,7.44,4.65,62.2,58.0,11926
25129,0.53,Ideal,G,SI1,5.19,5.24,3.21,61.6,57.0,1665
25130,0.55,Ideal,E,VVS2,5.3,5.33,3.24,61.1,57.0,2664
25131,0.51,Ideal,G,VVS2,5.09,5.13,3.18,62.2,56.0,1827
25132,0.33,Ideal,G,VVS1,4.46,4.45,2.74,61.5,56.0,1114
25133,0.55,Ideal,D,VS1,5.26,5.25,3.24,61.7,55.0,1990
25134,0.46,Ideal,H,SI1,4.97,5.0,3.05,61.2,56.0,1299
25135,1.15,Premium,G,VVS1,6.74,6.77,4.11,60.8,58.0,8863
25136,0.35,Ideal,E,VS2,4.5,4.52,2.82,62.5,55.0,767
25137,0.9,Premium,E,SI2,6.21,6.24,3.76,60.4,59.0,3924
25138,1.05,Premium,D,SI2,6.74,6.67,3.95,58.9,58.0,5134
25139,0.3,Ideal,G,VS2,4.35,4.38,2.67,61.2,55.0,545
25140,0.92,Very Good,D,VVS2,6.11,6.22,3.87,62.8,58.0,7150
25141,0.9,Ideal,G,SI2,6.19,6.33,3.8,60.7,57.0,4314
25142,0.32,Premium,E,SI2,4.44,4.39,2.7,61.2,58.0,576
25143,0.31,Ideal,D,SI1,4.36,4.32,2.68,61.8,57.0,732
25144,0.96,Fair,H,I1,6.38,5.88,3.98,64.3,59.0,1739
25145,0.73,Ideal,F,SI2,5.89,5.85,3.5,59.6,56.0,2164
25146,1.04,Ideal,G,SI2,6.56,6.62,3.98,60.4,58.0,4566
25147,1.05,Ideal,G,SI2,6.52,6.58,4.08,62.3,56.0,4561
25148,1.0,Good,H,SI1,6.33,6.3,4.02,63.7,60.0,4788
25149,0.7,Very Good,I,SI2,5.7,5.76,3.49,60.9,59.0,1603
25150,1.6,Very Good,E,SI2,7.5,7.55,4.7,62.5,54.0,11537
25151,1.0,Fair,G,SI2,5.96,5.9,4.02,67.8,61.0,2856
25152,0.7,Very Good,F,VS2,5.6,5.64,3.53,62.8,58.0,2552
25153,1.03,Ideal,H,I1,6.48,6.52,4.0,61.5,57.0,3172
25154,0.31,Ideal,G,IF,4.36,4.39,2.7,61.7,55.0,891
25155,1.04,Ideal,I,SI1,6.49,6.54,4.02,61.7,57.0,4344
25156,0.37,Premium,F,VS2,4.67,4.63,2.82,60.6,58.0,957
25157,0.23,Very Good,D,VVS2,3.89,3.92,2.44,62.5,58.0,492
25158,0.53,Good,J,VS2,5.12,5.1,3.26,63.8,57.0,1122
25159,0.26,Ideal,H,VS2,4.08,4.1,2.54,62.1,55.0,434
25160,0.4,Very Good,G,VS2,4.63,4.67,2.92,62.8,61.0,807
25161,0.3,Premium,D,VS1,4.38,4.34,2.59,59.4,60.0,848
25162,0.93,Ideal,H,VS1,6.25,6.2,3.9,62.7,54.0,4265
25163,0.72,Ideal,H,SI1,5.72,5.76,3.57,62.2,58.0,2458
25164,0.4,Ideal,E,SI2,4.77,4.74,2.91,61.2,55.0,855
25165,0.35,Ideal,D,VS2,4.51,4.55,2.83,62.5,56.0,790
25166,0.39,Premium,F,VS2,4.79,4.76,2.79,58.4,62.0,1053
25167,0.35,Ideal,E,SI2,4.51,4.55,2.78,61.4,56.0,491
25168,0.4,Very Good,E,SI1,4.76,4.81,2.86,59.8,61.0,684
25169,0.3,Ideal,G,VS2,4.26,4.3,2.65,61.9,57.0,984
25170,0.84,Ideal,E,SI1,6.08,6.11,3.76,61.7,53.0,4068
25171,0.31,Premium,H,VS1,4.38,4.4,2.63,59.9,59.0,544
25172,0.33,Ideal,H,IF,4.46,4.48,2.77,62.0,55.0,838
25173,0.33,Very Good,G,VS2,4.42,4.46,2.7,60.8,62.0,579
25174,1.74,Premium,H,SI2,7.88,7.8,4.7,59.9,59.0,10874
25175,0.4,Ideal,G,VVS2,4.72,4.78,2.9,61.1,57.0,915
25176,2.01,Premium,H,SI1,8.15,8.04,4.93,60.9,59.0,16733
25177,0.41,Very Good,E,SI1,4.75,4.78,2.93,61.5,61.0,705
25178,0.33,Ideal,D,VS1,4.48,4.5,2.77,61.7,55.0,1007
25179,0.32,Premium,E,SI1,4.36,4.39,2.71,61.9,59.0,561
25180,1.1,Very Good,H,SI1,6.56,6.63,4.12,62.5,56.0,4414
25181,0.72,Premium,F,SI1,5.85,5.81,3.49,59.9,58.0,2742
25182,0.32,Premium,G,VS2,4.43,4.36,2.72,61.9,58.0,720
25183,0.7,Premium,F,VS2,5.65,5.59,3.46,61.6,60.0,2762
25184,0.59,Ideal,E,SI2,5.32,5.37,3.34,62.5,57.0,1305
25185,2.01,Very Good,G,SI1,7.98,7.89,5.04,63.5,60.0,15038
25186,1.07,Ideal,G,VVS2,6.51,6.55,4.1,62.8,54.0,8212
25187,0.34,Ideal,E,VS1,4.52,4.48,2.79,62.0,56.0,1033
25188,0.78,Ideal,G,SI2,5.93,5.97,3.67,61.7,54.0,2485
25189,0.38,Ideal,F,VVS2,4.69,4.79,2.86,60.3,55.0,1052
25190,0.42,Ideal,D,SI1,4.81,4.85,2.97,61.5,56.0,810
25191,0.43,Very Good,G,VVS1,4.77,4.83,2.99,62.3,59.0,1207
25192,0.57,Ideal,F,VS1,5.27,5.33,3.32,62.6,56.0,1949
25193,0.3,Ideal,G,VS2,4.27,4.3,2.64,61.6,58.0,545
25194,0.41,Premium,D,SI2,4.77,4.71,2.96,62.4,60.0,876
25195,0.9,Very Good,D,SI2,6.28,6.32,3.72,59.0,61.0,3262
25196,1.1,Very Good,I,SI1,6.54,6.59,4.07,62.0,59.0,4537
25197,0.9,Ideal,G,SI1,6.24,6.29,3.77,60.2,56.0,3894
25198,0.31,Ideal,J,VS2,4.35,4.38,2.7,61.8,54.1,400
25199,0.9,Very Good,G,VS2,6.15,6.21,3.79,61.3,59.0,4269
25200,0.55,Very Good,D,SI1,5.19,5.22,3.28,63.1,56.0,1593
25201,0.9,Very Good,G,VVS1,6.05,6.14,3.86,63.3,58.0,4697
25202,1.0,Fair,D,SI1,6.15,6.04,4.1,67.3,57.0,5096
25203,0.9,Premium,D,SI1,6.13,6.11,3.78,61.8,59.0,4181
25204,0.7,Ideal,D,SI1,5.68,5.72,3.56,62.5,55.0,2726
25205,1.5,Very Good,H,VVS1,7.17,7.21,4.59,63.8,57.0,11654
25206,2.06,Premium,E,SI2,8.42,8.35,4.93,58.8,58.0,14634
25207,1.26,Ideal,I,SI1,6.89,6.92,4.32,62.6,57.0,6597
25208,0.8,Very Good,E,VS1,5.88,5.93,3.73,63.2,54.0,3831
25209,1.13,Ideal,I,VVS1,6.67,6.75,4.12,61.6,57.0,7459
25210,1.01,Premium,G,SI1,6.52,6.49,3.94,60.6,57.0,5006
25211,0.63,Very Good,F,VS1,5.56,5.66,3.32,59.2,57.0,2149
25212,0.76,Good,E,SI2,5.95,5.99,3.51,58.8,59.0,2680
25213,0.37,Very Good,E,VS2,4.56,4.6,2.83,61.8,59.0,811
25214,1.66,Very Good,H,SI1,7.53,7.57,4.74,62.8,56.0,10134
25215,1.1,Ideal,G,VS2,6.68,6.6,4.12,62.0,56.0,6653
25216,1.51,Ideal,I,SI1,7.4,7.37,4.51,61.1,59.0,8342
25217,1.01,Very Good,E,SI1,6.36,6.39,3.97,62.3,60.0,5224
25218,1.02,Very Good,F,SI1,6.52,6.56,3.98,60.9,57.0,5287
25219,0.4,Very Good,G,VS1,4.71,4.76,2.98,62.9,54.8,861
25220,0.33,Ideal,D,SI2,4.43,4.41,2.78,62.9,56.0,631
25221,0.41,Very Good,G,VS1,4.75,4.78,2.94,61.7,57.0,899
25222,0.52,Ideal,I,VS2,5.19,5.21,3.2,61.5,56.0,1214
25223,0.41,Good,J,VS1,4.68,4.71,2.99,63.7,56.0,647
25224,1.28,Premium,I,SI1,7.11,7.04,4.2,59.4,61.0,3942
25225,0.31,Ideal,E,VS2,4.4,4.39,2.67,60.8,54.0,872
25226,1.01,Premium,H,VS2,6.41,6.33,3.98,62.5,58.0,5611
25227,0.4,Premium,F,VS2,4.76,4.71,2.89,61.0,59.0,1080
25228,0.74,Premium,E,VS1,5.88,5.82,3.58,61.2,58.0,3312
25229,0.38,Ideal,D,VS1,4.65,4.67,2.9,62.1,53.9,1092
25230,0.77,Fair,H,VS1,5.78,5.84,3.75,64.6,56.4,2594
25231,0.41,Ideal,G,VS2,4.74,4.77,2.98,62.7,56.0,827
25232,1.55,Premium,D,SI2,7.44,7.39,4.6,62.0,58.0,11103
25233,0.77,Very Good,F,VVS1,5.91,5.94,3.62,61.1,57.0,4304
25234,1.0,Premium,F,SI1,6.32,6.3,3.95,62.6,60.0,5292
25235,0.39,Good,I,VS2,4.6,4.61,2.87,62.3,61.0,648
25236,2.19,Premium,H,SI1,8.35,8.3,5.13,61.6,58.0,17016
25237,0.55,Very Good,D,VS2,5.2,5.25,3.25,62.2,60.0,1796
25238,1.1,Good,I,SI1,6.49,6.56,4.12,63.1,61.0,4133
25239,0.7,Good,G,SI1,5.57,5.63,3.51,62.7,59.0,2209
25240,0.26,Very Good,H,VVS1,4.08,4.11,2.56,62.5,58.0,468
25241,0.31,Ideal,F,VS2,4.35,4.39,2.67,61.1,56.0,640
25242,0.53,Premium,H,VS1,5.34,5.27,3.21,60.5,57.0,1607
25243,1.24,Ideal,I,VS2,6.86,6.89,4.25,61.8,56.0,7544
25244,0.28,Ideal,G,VS2,4.21,4.24,2.63,62.2,54.0,497
25245,0.64,Ideal,I,SI2,5.54,5.6,3.41,61.2,55.0,1257
25246,1.62,Ideal,F,VS2,7.52,7.58,4.62,61.2,57.0,18281
25247,0.32,Ideal,D,SI1,4.39,4.35,2.74,62.7,54.0,756
25248,0.71,Ideal,D,VS2,5.76,5.78,3.53,61.2,56.0,3135
25249,0.9,Very Good,F,SI1,6.06,6.12,3.86,63.4,56.0,3898
25250,0.58,Ideal,E,VS2,5.35,5.34,3.32,62.1,55.0,1761
25251,0.78,Premium,G,VS2,6.03,5.95,3.64,60.8,58.0,2803
25252,0.33,Premium,H,VS1,4.39,4.42,2.75,62.4,60.0,540
25253,0.42,Ideal,D,VVS2,4.79,4.77,2.99,62.6,56.0,1389
25254,1.0,Premium,E,VS2,6.49,6.46,3.91,60.4,57.0,6720
25255,1.51,Good,H,SI2,7.53,7.39,4.47,59.9,64.0,7340
25256,1.03,Premium,H,VS2,6.55,6.48,3.97,60.9,58.0,5364
25257,0.33,Ideal,G,IF,4.46,4.42,2.75,61.9,54.0,1052
25258,0.72,Good,G,VS2,5.72,5.79,3.64,63.4,53.0,2311
25259,0.38,Very Good,H,VS2,4.57,4.61,2.89,63.0,56.0,700
25260,0.9,Very Good,D,SI1,6.12,6.16,3.85,62.7,56.0,4381
25261,0.31,Ideal,F,VS2,4.3,4.34,2.69,62.3,57.0,625
25262,1.58,Premium,D,SI1,7.68,7.63,4.52,59.0,59.0,13329
25263,0.76,Premium,E,SI1,5.86,5.81,3.63,62.2,59.0,2814
25264,0.31,Premium,E,VS1,4.42,4.38,2.64,60.0,59.0,942
25265,0.71,Very Good,E,VS1,5.63,5.68,3.6,63.7,58.0,3009
25266,0.71,Premium,E,VS1,5.87,5.78,3.48,59.7,57.0,2920
25267,0.4,Very Good,D,SI1,4.73,4.69,2.97,63.1,57.0,924
25268,0.58,Good,G,SI1,5.28,5.34,3.37,63.5,56.0,1295
25269,0.55,Ideal,G,VS2,5.33,5.37,3.22,60.1,55.0,1634
25270,0.4,Ideal,E,VVS2,4.73,4.77,2.97,62.5,54.0,1106
25271,1.01,Good,I,I1,6.35,6.39,4.02,63.1,57.0,2844
25272,0.58,Good,F,VVS2,5.37,5.44,3.36,62.2,61.0,2494
25273,0.75,Ideal,E,SI1,5.83,5.86,3.57,61.1,57.0,2993
25274,1.35,Premium,G,VS2,7.16,7.12,4.36,61.1,58.0,9580
25275,0.62,Good,E,SI2,5.54,5.48,3.27,59.4,65.0,1333
25276,0.41,Premium,F,VS2,4.73,4.69,2.96,62.8,58.0,1107
25277,0.97,Ideal,G,SI2,6.31,6.28,3.95,62.7,57.0,4101
25278,0.32,Ideal,F,VS2,4.43,4.41,2.76,62.4,55.0,828
25279,0.23,Very Good,F,VVS1,4.0,4.02,2.41,60.1,57.0,465
25280,2.11,Ideal,I,SI1,8.37,8.29,5.08,61.0,57.0,15486
25281,0.28,Ideal,H,VS2,4.2,4.22,2.63,62.5,54.0,467
25282,1.5,Premium,E,VS1,7.46,7.43,4.43,59.5,61.0,17143
25283,1.65,Premium,G,SI2,7.62,7.55,4.72,62.2,58.0,9970
25284,1.3,Premium,G,VVS2,7.17,7.08,4.29,60.2,58.0,10763
25285,1.08,Premium,F,VS2,6.55,6.47,4.09,62.8,59.0,7079
25286,0.4,Premium,E,SI1,4.7,4.67,2.94,62.8,59.0,907
25287,0.33,Premium,H,VS1,4.4,4.35,2.75,62.9,59.0,743
25288,0.7,Premium,D,SI1,5.79,5.74,3.45,59.8,57.0,2589
25289,0.53,Premium,G,VS1,5.16,5.2,3.23,62.4,58.0,1721
25290,0.27,Ideal,I,VS1,4.14,4.19,2.58,61.9,54.0,432
25291,0.34,Ideal,F,VS2,4.53,4.47,2.77,61.6,57.0,880
25292,1.08,Ideal,E,VVS1,6.66,6.62,4.05,61.0,56.0,12098
25293,0.41,Ideal,F,VS1,4.81,4.77,2.97,62.0,55.0,1076
25294,0.42,Ideal,G,IF,4.83,4.87,3.0,61.9,53.0,1289
25295,0.84,Very Good,D,SI1,5.93,6.02,3.76,62.9,58.0,3816
25296,1.5,Premium,I,VVS2,7.5,7.34,4.47,60.2,58.0,10483
25297,0.5,Good,I,VS2,4.9,4.95,3.18,64.6,59.0,987
25298,0.3,Ideal,G,VS2,4.29,4.32,2.67,62.0,56.0,503
25299,0.75,Good,I,VVS1,5.7,5.67,3.63,63.9,61.0,2381
25300,1.01,Very Good,F,SI2,6.39,6.37,4.04,63.3,57.0,4299
25301,1.92,Very Good,E,SI2,7.85,7.92,4.93,62.5,59.0,15364
25302,1.75,Ideal,I,VS2,7.72,7.77,4.77,61.6,55.0,12531
25303,1.51,Premium,G,VVS2,7.38,7.42,4.51,60.9,58.0,15164
25304,0.6,Very Good,J,VS1,5.37,5.41,3.37,62.6,56.0,1378
25305,0.57,Ideal,F,VVS1,5.39,5.36,3.26,60.7,57.0,2507
25306,0.32,Ideal,D,SI1,4.4,4.43,2.69,60.9,56.0,589
25307,0.74,Very Good,I,VVS2,5.83,5.85,3.56,61.0,59.0,2550
25308,0.42,Premium,D,VS1,4.85,4.79,2.93,60.8,59.0,1235
25309,0.72,Premium,G,SI1,5.78,5.68,3.6,62.8,60.0,2352
25310,1.27,Premium,F,SI2,7.01,6.95,4.26,61.0,61.0,5428
25311,1.53,Very Good,H,VS2,7.28,7.38,4.58,62.5,61.0,11722
25312,2.1,Ideal,H,SI2,8.17,8.13,5.14,63.1,55.0,18462
25313,0.36,Premium,E,SI2,4.63,4.57,2.83,61.5,61.0,518
25314,1.01,Good,G,VS2,6.23,6.31,4.04,64.4,58.0,5418
25315,0.38,Ideal,G,VS2,4.62,4.66,2.86,61.6,57.0,743
25316,0.56,Premium,E,VS2,5.31,5.25,3.27,61.9,55.0,1915
25317,1.22,Ideal,I,VS1,6.81,6.85,4.25,62.3,57.0,6469
25318,1.51,Ideal,E,SI2,7.31,7.36,4.54,61.9,56.0,10588
25319,0.42,Ideal,G,VS2,4.78,4.83,3.0,62.4,54.0,847
25320,0.73,Very Good,D,SI1,5.83,5.87,3.52,60.2,56.0,2768
25321,1.01,Premium,F,SI1,6.36,6.41,3.97,62.2,59.0,5249
25322,0.36,Good,D,SI1,4.55,4.57,2.89,63.4,57.0,663
25323,0.33,Premium,G,VS2,4.51,4.49,2.67,59.3,61.0,743
25324,0.42,Very Good,I,VVS2,4.81,4.85,2.98,61.7,55.0,771
25325,0.39,Ideal,D,SI1,4.73,4.78,2.88,60.6,55.0,729
25326,0.43,Premium,D,SI1,4.8,4.84,2.95,61.2,60.0,774
25327,1.17,Fair,H,SI2,6.86,6.78,4.09,60.0,66.0,4717
25328,0.71,Premium,H,VS2,5.72,5.77,3.5,60.9,58.0,2363
25329,1.06,Ideal,H,SI1,6.62,6.58,4.05,61.4,55.0,5194
25330,0.77,Very Good,H,VS1,5.81,5.86,3.63,62.2,57.0,3152
25331,0.37,Ideal,F,VS1,4.66,4.69,2.85,61.0,55.0,703
25332,0.8,Very Good,F,SI1,5.86,5.89,3.73,63.5,55.0,2914
25333,0.41,Ideal,E,VS1,4.8,4.77,2.97,62.1,55.0,1153
25334,0.32,Ideal,F,VS2,4.41,4.37,2.75,62.6,57.0,707
25335,0.52,Ideal,G,VVS2,5.16,5.14,3.19,61.9,55.0,2012
25336,0.7,Premium,D,VS1,5.69,5.71,3.49,61.2,60.0,3425
25337,0.51,Ideal,D,SI2,5.23,5.17,3.11,59.8,55.0,1359
25338,1.21,Ideal,E,VVS2,6.8,6.88,4.22,61.7,57.0,13661
25339,0.71,Ideal,H,VS1,5.66,5.71,3.55,62.4,56.0,2559
25340,0.72,Ideal,G,VS2,5.74,5.7,3.59,62.8,56.0,2805
25341,0.34,Very Good,E,VS2,4.48,4.51,2.82,62.7,56.0,696
25342,1.24,Ideal,G,SI1,6.93,6.99,4.25,61.0,56.4,6895
25343,1.07,Very Good,D,SI1,6.64,6.68,4.01,60.2,55.0,6002
25344,0.3,Ideal,H,VVS2,4.25,4.22,2.66,62.8,57.0,776
25345,1.2,Good,I,VS1,6.65,6.74,4.13,61.7,62.0,5818
25346,1.51,Ideal,J,VS2,7.35,7.3,4.57,62.4,57.0,7651
25347,0.73,Ideal,E,VS2,5.75,5.8,3.62,62.7,56.0,3077
25348,1.25,Premium,I,VS2,6.92,6.84,4.28,62.2,57.0,5925
25349,0.38,Ideal,E,VS1,4.7,4.72,2.86,60.7,56.0,933
25350,1.62,Premium,F,SI1,7.53,7.48,4.7,62.6,58.0,13298
25351,0.51,Ideal,D,VVS2,5.17,5.14,3.16,61.3,57.0,2742
25352,1.92,Ideal,H,SI1,8.0,8.06,4.92,61.3,57.0,15472
25353,0.56,Ideal,F,VS2,5.32,5.28,3.3,62.3,55.0,1729
25354,0.33,Ideal,H,VS2,4.45,4.48,2.71,60.7,57.0,521
25355,0.59,Ideal,H,VS2,5.38,5.34,3.33,62.2,59.0,1648
25356,0.31,Ideal,G,VVS2,4.32,4.36,2.7,62.2,55.0,565
25357,1.15,Ideal,G,VVS2,6.72,6.75,4.16,61.8,56.0,9457
25358,0.43,Very Good,E,SI1,4.8,4.83,3.03,62.9,56.0,792
25359,1.22,Premium,G,SI1,6.92,6.96,4.21,60.7,59.0,6492
25360,0.54,Very Good,G,IF,5.19,5.27,3.27,62.5,58.0,2128
25361,0.53,Ideal,G,VVS2,5.26,5.19,3.21,61.4,57.0,2051
25362,1.06,Ideal,G,VS2,6.56,6.58,4.03,61.3,57.0,6809
25363,0.36,Ideal,D,VVS1,4.61,4.63,2.84,61.5,55.0,1718
25364,1.24,Premium,G,VVS2,7.0,6.98,4.19,59.9,60.0,10388
25365,0.42,Premium,D,SI1,4.89,4.85,2.93,60.2,57.0,970
25366,0.73,Ideal,I,VS1,5.77,5.79,3.56,61.6,55.0,2596
25367,1.01,Ideal,H,VS2,6.54,6.49,3.95,60.6,57.0,5317
25368,0.27,Ideal,F,VS2,4.18,4.2,2.59,61.8,53.0,583
25369,0.38,Ideal,E,VS1,4.7,4.75,2.86,60.8,56.0,940
25370,1.02,Good,D,SI1,6.32,6.27,4.05,64.3,54.0,4558
25371,0.73,Ideal,E,VS2,5.75,5.78,3.55,61.7,57.0,3470
25372,2.03,Premium,J,SI2,8.02,8.08,5.05,62.7,59.0,12268
25373,0.33,Very Good,G,VVS1,4.47,4.5,2.74,61.2,57.0,795
25374,0.3,Ideal,F,VS2,4.31,4.33,2.68,62.0,53.7,601
25375,0.54,Very Good,E,SI1,5.23,5.37,3.19,60.2,58.0,1358
25376,0.56,Ideal,G,IF,5.29,5.32,3.26,61.4,57.0,2442
25377,0.33,Premium,G,VS1,4.5,4.52,2.72,60.3,58.0,621
25378,1.01,Premium,H,VS2,6.47,6.39,3.92,61.0,61.0,5190
25379,1.04,Ideal,E,VVS2,6.47,6.51,4.08,62.9,55.0,10019
25380,0.41,Ideal,G,IF,4.78,4.75,2.97,62.3,55.0,1431
25381,0.31,Very Good,G,VVS1,4.29,4.32,2.71,63.0,58.0,816
25382,0.59,Ideal,G,SI1,5.41,5.43,3.32,61.3,56.0,1891
25383,0.31,Ideal,E,VVS2,4.37,4.39,2.68,61.2,56.0,979
25384,0.55,Ideal,F,VS2,5.29,5.31,3.25,61.3,55.0,1679
25385,0.5,Premium,F,SI2,5.22,5.16,3.11,59.9,60.0,1125
25386,1.04,Premium,E,SI2,6.57,6.52,3.99,61.0,60.0,4240
25387,0.35,Premium,H,SI2,4.5,4.47,2.78,62.0,58.0,551
25388,0.3,Ideal,G,VVS1,4.34,4.31,2.67,61.7,57.0,878
25389,1.05,Premium,G,VS1,6.51,6.48,4.0,61.6,58.0,7063
25390,1.01,Good,F,VS2,6.36,6.32,4.03,63.6,59.0,6097
25391,1.09,Good,D,IF,6.75,6.85,3.99,58.7,61.0,16406
25392,1.22,Premium,F,SI2,6.78,6.73,4.22,62.5,57.0,5794
25393,1.3,Ideal,G,VVS2,6.96,7.03,4.34,62.0,57.0,11073
25394,0.6,Premium,E,VVS2,5.36,5.31,3.33,62.4,61.0,2393
25395,0.37,Premium,E,VS2,4.65,4.62,2.81,60.6,58.0,971
25396,0.32,Ideal,H,VVS2,4.43,4.4,2.7,61.2,56.0,828
25397,0.9,Very Good,F,VS1,6.16,6.23,3.76,60.7,57.0,5242
25398,0.7,Good,E,VS1,5.85,5.89,3.43,58.4,61.0,3419
25399,1.7,Ideal,D,SI1,7.76,7.71,4.64,60.0,54.0,12190
25400,1.14,Ideal,G,VS2,6.77,6.75,4.09,60.5,60.0,7099
25401,1.51,Very Good,I,VVS2,7.35,7.38,4.56,61.9,56.0,9416
25402,0.91,Very Good,J,VS2,6.17,6.19,3.87,62.6,55.0,3299
25403,1.04,Premium,G,VS2,6.59,6.56,3.95,60.1,59.0,6709
25404,2.02,Ideal,G,SI2,7.96,8.02,5.07,63.5,54.0,15814
25405,0.31,Ideal,G,VS2,4.34,4.36,2.68,61.5,56.0,652
25406,0.7,Premium,E,SI1,5.69,5.56,3.44,61.1,60.0,1971
25407,1.5,Premium,I,VS2,7.31,7.26,4.54,62.3,58.0,8820
25408,0.33,Ideal,D,SI1,4.47,4.44,2.76,62.0,56.0,728
25409,0.32,Premium,D,SI1,4.47,4.44,2.69,60.4,58.0,756
25410,0.31,Premium,H,VS1,4.39,4.37,2.69,61.4,56.0,698
25411,0.57,Very Good,H,VVS1,5.4,5.43,3.23,59.6,58.0,1914
25412,1.51,Very Good,F,SI1,7.3,7.38,4.55,62.0,57.0,9150
25413,0.36,Very Good,H,IF,4.55,4.58,2.85,62.3,56.0,865
25414,0.9,Premium,G,I1,6.2,6.15,3.78,61.3,59.0,1777
25415,1.19,Premium,H,SI1,6.85,6.8,4.18,61.2,60.0,5622
